i,t,y,x0,x1
10,5,0.0,1.0,0.0
10,6,1.0,1.0,0.0
10,7,0.0,1.0,1.0
10,8,0.0,1.0,0.0
10,9,0.0,1.0,0.0
11,0,1.0,1.0,1.0
11,1,0.0,1.0,0.0
11,2,1.0,1.0,0.0
11,3,0.0,1.0,0.0
11,4,0.0,1.0,1.0
11,5,1.0,1.0,1.0
11,6,0.0,1.0,0.0
11,7,0.0,1.0,0.0
11,8,1.0,1.0,1.0
11,9,0.0,1.0,0.0
12,0,1.0,1.0,0.0
12,1,1.0,1.0,1.0
12,2,1.0,1.0,1.0
12,3,1.0,1.0,0.0
12,4,1.0,1.0,0.0
12,5,0.0,1.0,0.0
12,6,1.0,1.0,0.0
12,7,1.0,1.0,0.0
12,8,1.0,1.0,1.0
12,9,1.0,1.0,0.0
13,0,1.0,1.0,0.0
13,1,1.0,1.0,1.0
13,2,1.0,1.0,1.0
13,3,1.0,1.0,1.0
13,4,0.0,1.0,0.0
13,5,1.0,1.0,0.0
13,6,1.0,1.0,1.0
13,7,1.0,1.0,1.0
13,8,0.0,1.0,0.0
13,9,1.0,1.0,0.0
14,0,0.0,1.0,1.0
14,1,1.0,1.0,1.0
14,2,0.0,1.0,1.0
14,3,1.0,1.0,1.0
14,4,0.0,1.0,1.0
14,5,0.0,1.0,0.0
14,6,1.0,1.0,0.0
14,7,1.0,1.0,0.0
14,8,0.0,1.0,0.0
14,9,0.0,1.0,1.0
15,0,1.0,1.0,0.0
15,1,1.0,1.0,1.0
15,2,1.0,1.0,0.0
15,3,1.0,1.0,1.0
15,4,1.0,1.0,1.0
15,5,1.0,1.0,1.0
15,6,1.0,1.0,1.0
15,7,1.0,1.0,0.0
15,8,1.0,1.0,0.0
15,9,0.0,1.0,0.0
16,0,1.0,1.0,0.0
16,1,1.0,1.0,0.0
16,2,1.0,1.0,0.0
16,3,1.0,1.0,0.0
16,4,1.0,1.0,1.0
16,5,1.0,1.0,1.0
16,6,1.0,1.0,0.0
16,7,1.0,1.0,0.0
16,8,1.0,1.0,0.0
16,9,1.0,1.0,1.0
17,0,0.0,1.0,0.0
17,1,0.0,1.0,0.0
17,2,0.0,1.0,0.0
17,3,0.0,1.0,1.0
17,4,1.0,1.0,0.0
17,5,0.0,1.0,1.0
17,6,1.0,1.0,1.0
17,7,1.0,1.0,1.0
17,8,0.0,1.0,1.0
17,9,1.0,1.0,1.0
18,0,1.0,1.0,1.0
18,1,0.0,1.0,1.0
18,2,1.0,1.0,1.0
18,3,1.0,1.0,1.0
18,4,0.0,1.0,1.0
18,5,1.0,1.0,0.0
18,6,1.0,1.0,0.0
18,7,1.0,1.0,0.0
18,8,0.0,1.0,0.0
18,9,1.0,1.0,1.0
19,0,1.0,1.0,0.0
19,1,0.0,1.0,0.0
19,2,0.0,1.0,0.0
19,3,0.0,1.0,1.0
19,4,1.0,1.0,1.0
19,5,1.0,1.0,0.0
19,6,1.0,1.0,1.0
19,7,0.0,1.0,1.0
19,8,1.0,1.0,0.0
19,9,0.0,1.0,0.0
20,0,1.0,1.0,1.0
20,1,1.0,1.0,0.0
20,2,1.0,1.0,1.0
20,3,0.0,1.0,0.0
20,4,1.0,1.0,0.0
20,5,1.0,1.0,0.0
20,6,1.0,1.0,1.0
20,7,1.0,1.0,1.0
20,8,1.0,1.0,1.0
20,9,0.0,1.0,1.0
21,0,1.0,1.0,0.0
21,1,1.0,1.0,0.0
21,2,0.0,1.0,0.0
21,3,1.0,1.0,0.0
21,4,1.0,1.0,1.0
21,5,1.0,1.0,1.0
21,6,0.0,1.0,1.0
21,7,0.0,1.0,0.0
21,8,1.0,1.0,1.0
21,9,0.0,1.0,0.0
22,0,1.0,1.0,1.0
22,1,1.0,1.0,1.0
22,2,1.0,1.0,0.0
22,3,1.0,1.0,0.0
22,4,0.0,1.0,1.0
22,5,1.0,1.0,1.0
22,6,1.0,1.0,1.0
22,7,1.0,1.0,1.0
22,8,1.0,1.0,1.0
22,9,1.0,1.0,0.0
23,0,1.0,1.0,0.0
23,1,1.0,1.0,1.0
23,2,1.0,1.0,0.0
23,3,1.0,1.0,0.0
23,4,1.0,1.0,0.0
23,5,0.0,1.0,1.0
23,6,0.0,1.0,0.0
23,7,1.0,1.0,0.0
23,8,1.0,1.0,0.0
23,9,1.0,1.0,1.0
24,0,1.0,1.0,1.0
24,1,0.0,1.0,1.0
24,2,1.0,1.0,0.0
24,3,0.0,1.0,1.0
24,4,1.0,1.0,0.0
24,5,0.0,1.0,1.0
24,6,1.0,1.0,0.0
24,7,1.0,1.0,0.0
24,8,1.0,1.0,0.0
24,9,1.0,1.0,1.0
25,0,1.0,1.0,0.0
25,1,0.0,1.0,0.0
25,2,1.0,1.0,0.0
25,3,0.0,1.0,0.0
25,4,1.0,1.0,1.0
25,5,1.0,1.0,1.0
25,6,0.0,1.0,0.0
25,7,1.0,1.0,1.0
25,8,0.0,1.0,0.0
25,9,0.0,1.0,0.0
26,0,1.0,1.0,0.0
26,1,1.0,1.0,1.0
26,2,1.0,1.0,0.0
26,3,1.0,1.0,0.0
26,4,1.0,1.0,1.0
26,5,1.0,1.0,1.0
26,6,1.0,1.0,0.0
26,7,1.0,1.0,0.0
26,8,1.0,1.0,1.0
26,9,0.0,1.0,1.0
27,0,1.0,1.0,1.0
27,1,1.0,1.0,0.0
27,2,0.0,1.0,0.0
27,3,0.0,1.0,0.0
27,4,1.0,1.0,0.0
27,5,1.0,1.0,1.0
27,6,1.0,1.0,0.0
27,7,0.0,1.0,1.0
27,8,1.0,1.0,1.0
27,9,1.0,1.0,0.0
28,0,0.0,1.0,0.0
28,1,0.0,1.0,1.0
28,2,1.0,1.0,1.0
28,3,0.0,1.0,1.0
28,4,1.0,1.0,1.0
28,5,1.0,1.0,1.0
28,6,1.0,1.0,0.0
28,7,1.0,1.0,1.0
28,8,1.0,1.0,1.0
28,9,0.0,1.0,1.0
29,0,0.0,1.0,1.0
29,1,1.0,1.0,0.0
29,2,1.0,1.0,0.0
29,3,1.0,1.0,1.0
29,4,1.0,1.0,0.0
29,5,0.0,1.0,0.0
29,6,1.0,1.0,0.0
29,7,1.0,1.0,1.0
29,8,1.0,1.0,1.0
29,9,1.0,1.0,1.0
30,0,0.0,1.0,1.0
30,1,1.0,1.0,1.0
30,2,1.0,1.0,1.0
30,3,1.0,1.0,1.0
30,4,1.0,1.0,1.0
30,5,1.0,1.0,1.0
30,6,1.0,1.0,0.0
30,7,0.0,1.0,1.0
30,8,1.0,1.0,1.0
30,9,1.0,1.0,1.0
31,0,1.0,1.0,1.0
31,1,0.0,1.0,0.0
31,2,0.0,1.0,0.0
31,3,0.0,1.0,0.0
31,4,1.0,1.0,0.0
31,5,0.0,1.0,1.0
31,6,0.0,1.0,1.0
31,7,0.0,1.0,0.0
31,8,0.0,1.0,1.0
31,9,0.0,1.0,1.0
32,0,1.0,1.0,0.0
32,1,1.0,1.0,0.0
32,2,1.0,1.0,0.0
32,3,1.0,1.0,0.0
32,4,1.0,1.0,0.0
32,5,1.0,1.0,1.0
32,6,1.0,1.0,0.0
32,7,1.0,1.0,0.0
32,8,1.0,1.0,1.0
32,9,0.0,1.0,1.0
33,0,1.0,1.0,1.0
33,1,1.0,1.0,0.0
33,2,0.0,1.0,1.0
33,3,1.0,1.0,1.0
33,4,1.0,1.0,1.0
33,5,0.0,1.0,0.0
33,6,1.0,1.0,1.0
33,7,0.0,1.0,0.0
33,8,1.0,1.0,1.0
33,9,1.0,1.0,0.0
34,0,0.0,1.0,1.0
34,1,1.0,1.0,1.0
34,2,1.0,1.0,1.0
34,3,1.0,1.0,1.0
34,4,1.0,1.0,0.0
34,5,0.0,1.0,1.0
34,6,1.0,1.0,1.0
34,7,1.0,1.0,0.0
34,8,0.0,1.0,0.0
34,9,0.0,1.0,0.0
35,0,1.0,1.0,0.0
35,1,1.0,1.0,1.0
35,2,1.0,1.0,0.0
35,3,1.0,1.0,1.0
35,4,1.0,1.0,0.0
35,5,0.0,1.0,1.0
35,6,0.0,1.0,0.0
35,7,0.0,1.0,0.0
35,8,1.0,1.0,0.0
35,9,1.0,1.0,1.0
36,0,0.0,1.0,0.0
36,1,1.0,1.0,1.0
36,2,0.0,1.0,1.0
36,3,1.0,1.0,1.0
36,4,1.0,1.0,0.0
36,5,1.0,1.0,0.0
36,6,1.0,1.0,1.0
36,7,1.0,1.0,0.0
36,8,1.0,1.0,0.0
36,9,1.0,1.0,1.0
37,0,1.0,1.0,1.0
37,1,1.0,1.0,1.0
37,2,1.0,1.0,0.0
37,3,1.0,1.0,0.0
37,4,1.0,1.0,0.0
37,5,0.0,1.0,0.0
37,6,1.0,1.0,0.0
37,7,1.0,1.0,1.0
37,8,0.0,1.0,0.0
37,9,0.0,1.0,0.0
38,0,0.0,1.0,1.0
38,1,0.0,1.0,0.0
38,2,1.0,1.0,0.0
38,3,0.0,1.0,1.0
38,4,0.0,1.0,1.0
38,5,1.0,1.0,0.0
38,6,1.0,1.0,1.0
38,7,0.0,1.0,0.0
38,8,0.0,1.0,0.0
38,9,1.0,1.0,1.0
39,0,1.0,1.0,0.0
39,1,1.0,1.0,0.0
39,2,1.0,1.0,1.0
39,3,1.0,1.0,0.0
39,4,1.0,1.0,0.0
39,5,1.0,1.0,1.0
39,6,0.0,1.0,1.0
39,7,1.0,1.0,0.0
39,8,0.0,1.0,1.0
39,9,1.0,1.0,0.0
40,0,0.0,1.0,1.0
40,1,0.0,1.0,0.0
40,2,1.0,1.0,1.0
40,3,1.0,1.0,0.0
40,4,0.0,1.0,0.0
40,5,1.0,1.0,0.0
40,6,1.0,1.0,0.0
40,7,0.0,1.0,1.0
40,8,1.0,1.0,1.0
40,9,1.0,1.0,0.0
41,0,0.0,1.0,1.0
41,1,1.0,1.0,0.0
41,2,1.0,1.0,1.0
41,3,0.0,1.0,1.0
41,4,1.0,1.0,0.0
41,5,1.0,1.0,0.0
41,6,1.0,1.0,1.0
41,7,0.0,1.0,0.0
41,8,1.0,1.0,1.0
41,9,1.0,1.0,1.0
42,0,1.0,1.0,0.0
42,1,0.0,1.0,0.0
42,2,0.0,1.0,0.0
42,3,1.0,1.0,0.0
42,4,0.0,1.0,1.0
42,5,1.0,1.0,0.0
42,6,0.0,1.0,1.0
42,7,0.0,1.0,1.0
42,8,1.0,1.0,1.0
42,9,0.0,1.0,1.0
43,0,0.0,1.0,0.0
43,1,0.0,1.0,1.0
43,2,0.0,1.0,0.0
43,3,1.0,1.0,1.0
43,4,0.0,1.0,1.0
43,5,1.0,1.0,0.0
43,6,1.0,1.0,0.0
43,7,0.0,1.0,0.0
43,8,0.0,1.0,0.0
43,9,1.0,1.0,1.0
44,0,0.0,1.0,0.0
44,1,1.0,1.0,1.0
44,2,1.0,1.0,0.0
44,3,1.0,1.0,0.0
44,4,1.0,1.0,1.0
44,5,1.0,1.0,0.0
44,6,1.0,1.0,1.0
44,7,0.0,1.0,0.0
44,8,1.0,1.0,1.0
44,9,1.0,1.0,1.0
45,0,0.0,1.0,1.0
45,1,0.0,1.0,0.0
45,2,1.0,1.0,0.0
45,3,0.0,1.0,1.0
45,4,0.0,1.0,0.0
45,5,0.0,1.0,1.0
45,6,1.0,1.0,0.0
45,7,1.0,1.0,0.0
45,8,1.0,1.0,1.0
45,9,1.0,1.0,1.0
46,0,1.0,1.0,1.0
46,1,1.0,1.0,0.0
46,2,0.0,1.0,0.0
46,3,1.0,1.0,0.0
46,4,1.0,1.0,1.0
46,5,1.0,1.0,0.0
46,6,0.0,1.0,1.0
46,7,0.0,1.0,0.0
46,8,1.0,1.0,0.0
46,9,1.0,1.0,0.0
47,0,0.0,1.0,1.0
47,1,0.0,1.0,0.0
47,2,1.0,1.0,0.0
47,3,1.0,1.0,1.0
47,4,0.0,1.0,0.0
47,5,0.0,1.0,0.0
47,6,1.0,1.0,1.0
47,7,0.0,1.0,1.0
47,8,0.0,1.0,0.0
47,9,0.0,1.0,0.0
48,0,1.0,1.0,0.0
48,1,1.0,1.0,1.0
48,2,1.0,1.0,1.0
48,3,1.0,1.0,1.0
48,4,0.0,1.0,1.0
48,5,1.0,1.0,1.0
48,6,0.0,1.0,1.0
48,7,1.0,1.0,1.0
48,8,1.0,1.0,1.0
48,9,1.0,1.0,0.0
49,0,0.0,1.0,0.0
49,1,0.0,1.0,1.0
49,2,1.0,1.0,1.0
49,3,0.0,1.0,0.0
49,4,0.0,1.0,0.0
49,5,1.0,1.0,1.0
49,6,0.0,1.0,0.0
49,7,0.0,1.0,1.0
49,8,1.0,1.0,1.0
49,9,0.0,1.0,0.0
50,0,1.0,1.0,1.0
50,1,1.0,1.0,1.0
50,2,1.0,1.0,1.0
50,3,1.0,1.0,0.0
50,4,1.0,1.0,1.0
50,5,1.0,1.0,1.0
50,6,0.0,1.0,0.0
50,7,0.0,1.0,0.0
50,8,0.0,1.0,0.0
50,9,1.0,1.0,1.0
51,0,0.0,1.0,1.0
51,1,1.0,1.0,1.0
51,2,1.0,1.0,0.0
51,3,1.0,1.0,1.0
51,4,1.0,1.0,0.0
51,5,1.0,1.0,0.0
51,6,1.0,1.0,1.0
51,7,1.0,1.0,0.0
51,8,0.0,1.0,1.0
51,9,1.0,1.0,1.0
52,0,1.0,1.0,1.0
52,1,1.0,1.0,1.0
52,2,1.0,1.0,1.0
52,3,1.0,1.0,1.0
52,4,1.0,1.0,0.0
52,5,0.0,1.0,0.0
52,6,1.0,1.0,0.0
52,7,1.0,1.0,0.0
52,8,1.0,1.0,1.0
52,9,1.0,1.0,0.0
53,0,0.0,1.0,1.0
53,1,0.0,1.0,0.0
53,2,1.0,1.0,1.0
53,3,1.0,1.0,1.0
53,4,1.0,1.0,0.0
53,5,1.0,1.0,1.0
53,6,1.0,1.0,1.0
53,7,1.0,1.0,0.0
53,8,1.0,1.0,1.0
53,9,1.0,1.0,0.0
54,0,1.0,1.0,1.0
54,1,1.0,1.0,1.0
54,2,0.0,1.0,1.0
54,3,1.0,1.0,1.0
54,4,0.0,1.0,0.0
54,5,1.0,1.0,1.0
54,6,0.0,1.0,0.0
54,7,1.0,1.0,0.0
54,8,0.0,1.0,0.0
54,9,1.0,1.0,1.0
55,0,1.0,1.0,1.0
55,1,1.0,1.0,0.0
55,2,1.0,1.0,0.0
55,3,1.0,1.0,0.0
55,4,0.0,1.0,0.0
55,5,1.0,1.0,1.0
55,6,1.0,1.0,0.0
55,7,1.0,1.0,1.0
55,8,1.0,1.0,1.0
55,9,0.0,1.0,1.0
56,0,1.0,1.0,1.0
56,1,1.0,1.0,1.0
56,2,1.0,1.0,0.0
56,3,1.0,1.0,1.0
56,4,1.0,1.0,0.0
56,5,1.0,1.0,0.0
56,6,1.0,1.0,1.0
56,7,0.0,1.0,0.0
56,8,1.0,1.0,0.0
56,9,1.0,1.0,0.0
57,0,1.0,1.0,1.0
57,1,1.0,1.0,0.0
57,2,1.0,1.0,1.0
57,3,1.0,1.0,1.0
57,4,1.0,1.0,0.0
57,5,1.0,1.0,1.0
57,6,1.0,1.0,1.0
57,7,1.0,1.0,1.0
57,8,1.0,1.0,0.0
57,9,0.0,1.0,0.0
58,0,0.0,1.0,1.0
58,1,0.0,1.0,1.0
58,2,0.0,1.0,1.0
58,3,0.0,1.0,1.0
58,4,1.0,1.0,1.0
58,5,1.0,1.0,1.0
58,6,0.0,1.0,0.0
58,7,0.0,1.0,0.0
58,8,1.0,1.0,0.0
58,9,0.0,1.0,0.0
59,0,1.0,1.0,0.0
59,1,1.0,1.0,1.0
59,2,1.0,1.0,1.0
59,3,1.0,1.0,1.0
59,4,0.0,1.0,0.0
59,5,1.0,1.0,0.0
59,6,0.0,1.0,0.0
59,7,0.0,1.0,0.0
59,8,1.0,1.0,1.0
59,9,1.0,1.0,0.0
60,0,0.0,1.0,1.0
60,1,1.0,1.0,1.0
60,2,1.0,1.0,1.0
60,3,1.0,1.0,0.0
60,4,0.0,1.0,1.0
60,5,1.0,1.0,0.0
60,6,1.0,1.0,1.0
60,7,1.0,1.0,1.0
60,8,1.0,1.0,0.0
60,9,0.0,1.0,0.0
61,0,1.0,1.0,1.0
61,1,1.0,1.0,0.0
61,2,0.0,1.0,0.0
61,3,0.0,1.0,0.0
61,4,1.0,1.0,1.0
61,5,0.0,1.0,0.0
61,6,1.0,1.0,0.0
61,7,0.0,1.0,1.0
61,8,1.0,1.0,1.0
61,9,1.0,1.0,1.0
62,0,1.0,1.0,1.0
62,1,1.0,1.0,1.0
62,2,1.0,1.0,0.0
62,3,0.0,1.0,1.0
62,4,0.0,1.0,1.0
62,5,0.0,1.0,1.0
62,6,1.0,1.0,1.0
62,7,1.0,1.0,1.0
62,8,1.0,1.0,1.0
62,9,1.0,1.0,0.0
63,0,0.0,1.0,1.0
63,1,0.0,1.0,1.0
63,2,1.0,1.0,1.0
63,3,1.0,1.0,0.0
63,4,1.0,1.0,0.0
63,5,0.0,1.0,0.0
63,6,1.0,1.0,1.0
63,7,1.0,1.0,0.0
63,8,0.0,1.0,0.0
63,9,1.0,1.0,0.0
64,0,1.0,1.0,0.0
64,1,1.0,1.0,1.0
64,2,1.0,1.0,0.0
64,3,1.0,1.0,1.0
64,4,0.0,1.0,1.0
64,5,1.0,1.0,0.0
64,6,1.0,1.0,1.0
64,7,1.0,1.0,1.0
64,8,1.0,1.0,0.0
64,9,1.0,1.0,1.0
65,0,1.0,1.0,1.0
65,1,0.0,1.0,0.0
65,2,1.0,1.0,1.0
65,3,0.0,1.0,1.0
65,4,1.0,1.0,1.0
65,5,0.0,1.0,1.0
65,6,0.0,1.0,0.0
65,7,1.0,1.0,0.0
65,8,1.0,1.0,0.0
65,9,1.0,1.0,1.0
66,0,1.0,1.0,0.0
66,1,1.0,1.0,0.0
66,2,1.0,1.0,0.0
66,3,1.0,1.0,1.0
66,4,1.0,1.0,1.0
66,5,0.0,1.0,1.0
66,6,0.0,1.0,0.0
66,7,0.0,1.0,1.0
66,8,1.0,1.0,0.0
66,9,0.0,1.0,0.0
67,0,0.0,1.0,0.0
67,1,0.0,1.0,0.0
67,2,1.0,1.0,1.0
67,3,0.0,1.0,0.0
67,4,0.0,1.0,0.0
67,5,0.0,1.0,0.0
67,6,0.0,1.0,1.0
67,7,1.0,1.0,0.0
67,8,0.0,1.0,1.0
67,9,1.0,1.0,0.0
68,0,1.0,1.0,0.0
68,1,0.0,1.0,1.0
68,2,1.0,1.0,0.0
68,3,1.0,1.0,1.0
68,4,1.0,1.0,0.0
68,5,1.0,1.0,1.0
68,6,1.0,1.0,1.0
68,7,1.0,1.0,0.0
68,8,0.0,1.0,1.0
68,9,1.0,1.0,1.0
69,0,0.0,1.0,0.0
69,1,0.0,1.0,1.0
69,2,1.0,1.0,1.0
69,3,1.0,1.0,0.0
69,4,1.0,1.0,0.0
69,5,0.0,1.0,1.0
69,6,1.0,1.0,1.0
69,7,1.0,1.0,1.0
69,8,1.0,1.0,0.0
69,9,1.0,1.0,1.0
70,0,1.0,1.0,0.0
70,1,1.0,1.0,1.0
70,2,1.0,1.0,0.0
70,3,1.0,1.0,0.0
70,4,1.0,1.0,1.0
70,5,1.0,1.0,0.0
70,6,1.0,1.0,1.0
70,7,1.0,1.0,0.0
70,8,1.0,1.0,1.0
70,9,1.0,1.0,0.0
71,0,1.0,1.0,1.0
71,1,1.0,1.0,0.0
71,2,1.0,1.0,1.0
71,3,0.0,1.0,0.0
71,4,1.0,1.0,0.0
71,5,0.0,1.0,0.0
71,6,0.0,1.0,1.0
71,7,0.0,1.0,0.0
71,8,0.0,1.0,1.0
71,9,0.0,1.0,0.0
72,0,0.0,1.0,0.0
72,1,1.0,1.0,0.0
72,2,0.0,1.0,1.0
72,3,0.0,1.0,1.0
72,4,0.0,1.0,1.0
72,5,0.0,1.0,1.0
72,6,0.0,1.0,1.0
72,7,1.0,1.0,1.0
72,8,0.0,1.0,0.0
72,9,1.0,1.0,1.0
73,0,1.0,1.0,0.0
73,1,0.0,1.0,1.0
73,2,1.0,1.0,1.0
73,3,1.0,1.0,1.0
73,4,1.0,1.0,0.0
73,5,1.0,1.0,0.0
73,6,1.0,1.0,1.0
73,7,1.0,1.0,0.0
73,8,0.0,1.0,0.0
73,9,0.0,1.0,1.0
74,0,0.0,1.0,0.0
74,1,0.0,1.0,0.0
74,2,1.0,1.0,1.0
74,3,1.0,1.0,0.0
74,4,0.0,1.0,0.0
74,5,0.0,1.0,0.0
74,6,1.0,1.0,0.0
74,7,1.0,1.0,1.0
74,8,1.0,1.0,0.0
74,9,1.0,1.0,0.0
75,0,1.0,1.0,0.0
75,1,0.0,1.0,1.0
75,2,1.0,1.0,1.0
75,3,1.0,1.0,1.0
75,4,1.0,1.0,1.0
75,5,1.0,1.0,0.0
75,6,1.0,1.0,0.0
75,7,1.0,1.0,0.0
75,8,1.0,1.0,1.0
75,9,1.0,1.0,0.0
76,0,0.0,1.0,0.0
76,1,1.0,1.0,1.0
76,2,0.0,1.0,0.0
76,3,0.0,1.0,1.0
76,4,1.0,1.0,0.0
76,5,0.0,1.0,0.0
76,6,0.0,1.0,0.0
76,7,1.0,1.0,0.0
76,8,0.0,1.0,1.0
76,9,0.0,1.0,0.0
77,0,1.0,1.0,1.0
77,1,1.0,1.0,0.0
77,2,1.0,1.0,0.0
77,3,1.0,1.0,1.0
77,4,1.0,1.0,1.0
77,5,1.0,1.0,0.0
77,6,1.0,1.0,0.0
77,7,0.0,1.0,1.0
77,8,0.0,1.0,0.0
77,9,1.0,1.0,1.0
78,0,0.0,1.0,1.0
78,1,1.0,1.0,1.0
78,2,1.0,1.0,0.0
78,3,1.0,1.0,0.0
78,4,1.0,1.0,0.0
78,5,1.0,1.0,0.0
78,6,1.0,1.0,1.0
78,7,1.0,1.0,1.0
78,8,1.0,1.0,0.0
78,9,0.0,1.0,0.0
79,0,1.0,1.0,1.0
79,1,0.0,1.0,1.0
79,2,0.0,1.0,0.0
79,3,1.0,1.0,0.0
79,4,0.0,1.0,0.0
79,5,0.0,1.0,0.0
79,6,1.0,1.0,1.0
79,7,1.0,1.0,1.0
79,8,1.0,1.0,0.0
79,9,1.0,1.0,1.0
80,0,0.0,1.0,0.0
80,1,1.0,1.0,0.0
80,2,0.0,1.0,0.0
80,3,1.0,1.0,1.0
80,4,1.0,1.0,1.0
80,5,1.0,1.0,0.0
80,6,0.0,1.0,0.0
80,7,1.0,1.0,0.0
80,8,1.0,1.0,1.0
80,9,1.0,1.0,1.0
81,0,0.0,1.0,0.0
81,1,1.0,1.0,0.0
81,2,0.0,1.0,0.0
81,3,1.0,1.0,1.0
81,4,0.0,1.0,0.0
81,5,0.0,1.0,0.0
81,6,0.0,1.0,0.0
81,7,1.0,1.0,1.0
81,8,0.0,1.0,1.0
81,9,1.0,1.0,1.0
82,0,1.0,1.0,0.0
82,1,1.0,1.0,1.0
82,2,0.0,1.0,1.0
82,3,1.0,1.0,1.0
82,4,1.0,1.0,0.0
82,5,0.0,1.0,1.0
82,6,1.0,1.0,1.0
82,7,0.0,1.0,0.0
82,8,1.0,1.0,1.0
82,9,1.0,1.0,1.0
83,0,1.0,1.0,1.0
83,1,1.0,1.0,1.0
83,2,0.0,1.0,0.0
83,3,1.0,1.0,0.0
83,4,1.0,1.0,1.0
83,5,0.0,1.0,0.0
83,6,0.0,1.0,1.0
83,7,1.0,1.0,1.0
83,8,1.0,1.0,1.0
83,9,1.0,1.0,0.0
84,0,0.0,1.0,0.0
84,1,1.0,1.0,0.0
84,2,0.0,1.0,1.0
84,3,0.0,1.0,1.0
84,4,0.0,1.0,1.0
84,5,1.0,1.0,1.0
84,6,1.0,1.0,0.0
84,7,1.0,1.0,1.0
84,8,0.0,1.0,0.0
84,9,1.0,1.0,1.0
85,0,1.0,1.0,0.0
85,1,1.0,1.0,0.0
85,2,1.0,1.0,1.0
85,3,1.0,1.0,0.0
85,4,1.0,1.0,1.0
85,5,0.0,1.0,0.0
85,6,0.0,1.0,1.0
85,7,0.0,1.0,1.0
85,8,1.0,1.0,1.0
85,9,1.0,1.0,1.0
86,0,1.0,1.0,0.0
86,1,0.0,1.0,1.0
86,2,1.0,1.0,0.0
86,3,1.0,1.0,0.0
86,4,1.0,1.0,0.0
86,5,1.0,1.0,1.0
86,6,1.0,1.0,1.0
86,7,0.0,1.0,0.0
86,8,1.0,1.0,1.0
86,9,1.0,1.0,1.0
87,0,1.0,1.0,0.0
87,1,1.0,1.0,1.0
87,2,1.0,1.0,0.0
